event,feature,normal_median,normal_iqr,event_median,robust_standardized_difference,event_windows
may_failure,TP2_mean,0.972820936639119,0.5560693461485772,1.1257355371900837,0.27499196208184296,38
june_failure,TP2_mean,0.972820936639119,0.5560693461485772,1.0243753216480491,0.09271215068049311,48
july_holdout,TP2_mean,0.972820936639119,0.5560693461485772,3.4779060773480674,4.504986937437854,33
may_failure,TP2_std,2.812732292807566,0.7436227859488787,3.0511462750236467,0.3206114534425664,38
june_failure,TP2_std,2.812732292807566,0.7436227859488787,2.9382197021252123,0.1687514310868265,48
july_holdout,TP2_std,2.812732292807566,0.7436227859488787,4.575501047874124,2.370514713070858,33
may_failure,TP2_min,-0.0259999999999998,0.0039999999999977,-0.0259999999999998,0.0,38
june_failure,TP2_min,-0.0259999999999998,0.0039999999999977,-0.0259999999999998,0.0,48
july_holdout,TP2_min,-0.0259999999999998,0.0039999999999977,-0.0259999999999998,0.0,33
may_failure,TP2_max,10.512,0.10599999999999987,10.501000000000001,-0.10377358490565326,38
june_failure,TP2_max,10.512,0.10599999999999987,10.501000000000001,-0.10377358490565326,48
july_holdout,TP2_max,10.512,0.10599999999999987,10.554,0.39622641509433837,33
may_failure,TP2_roc_per_hour,0.0,0.004013377926419198,0.0,0.0,38
june_failure,TP2_roc_per_hour,0.0,0.004013377926419198,0.0,0.0,48
july_holdout,TP2_roc_per_hour,0.0,0.004013377926419198,0.0020061298411802844,0.49986068542769574,33
may_failure,TP3_mean,9.034486263736262,0.11265263902764033,8.98380662222425,-0.44987531538943704,38
june_failure,TP3_mean,9.034486263736262,0.11265263902764033,9.021321602639784,-0.11686065422087943,48
july_holdout,TP3_mean,9.034486263736262,0.11265263902764033,9.091063711911357,0.5022292301666582,33
may_failure,TP3_std,0.5733794588268764,0.044804400696709656,0.5691952760648437,-0.09338776318773466,38
june_failure,TP3_std,0.5733794588268764,0.044804400696709656,0.5804616696265357,0.15806953534766105,48
july_holdout,TP3_std,0.5733794588268764,0.044804400696709656,0.6155588958740699,0.9414128164042396,33
may_failure,TP3_min,8.064,0.06800000000000139,7.944000000000001,-1.7647058823528936,38
june_failure,TP3_min,8.064,0.06800000000000139,8.036,-0.4117647058823514,48
july_holdout,TP3_min,8.064,0.06800000000000139,8.022,-0.617647058823514,33
may_failure,TP3_max,10.178,0.07399999999999984,10.15,-0.3783783783783855,38
june_failure,TP3_max,10.178,0.07399999999999984,10.152,-0.3513513513513734,48
july_holdout,TP3_max,10.178,0.07399999999999984,10.194,0.21621621621621687,33
may_failure,TP3_roc_per_hour,0.0,0.9989174853468221,-0.2076637924688116,-0.20788883517912507,38
june_failure,TP3_roc_per_hour,0.0,0.9989174853468221,0.005019799293807988,0.005025239188865658,48
july_holdout,TP3_roc_per_hour,0.0,0.9989174853468221,-0.1624965171356932,-0.16267261262252783,33
may_failure,H1_mean,8.046264462809917,0.5042053741712849,7.813489926739926,-0.4616661146315245,38
june_failure,H1_mean,8.046264462809917,0.5042053741712849,7.980826446280992,-0.12978444872088,48
july_holdout,H1_mean,8.046264462809917,0.5042053741712849,5.572513812154697,-4.906236183462131,33
may_failure,H1_std,2.810550415345153,0.719108024990299,3.0094657431301424,0.2766139729669583,38
june_failure,H1_std,2.810550415345153,0.719108024990299,2.9316189457787307,0.16835930934745294,48
july_holdout,H1_std,2.810550415345153,0.719108024990299,4.399702040855928,2.2098927703278144,33
may_failure,H1_min,-0.0279999999999986,0.004000000000001298,-0.0259999999999998,0.49999999999953726,38
june_failure,H1_min,-0.0279999999999986,0.004000000000001298,-0.0279999999999986,0.0,48
july_holdout,H1_min,-0.0279999999999986,0.004000000000001298,-0.0240000000000009,0.9999999999991005,33
may_failure,H1_max,10.17,0.07399999999999984,10.15,-0.27027027027026507,38
june_failure,H1_max,10.17,0.07399999999999984,10.148,-0.2972972972973012,48
july_holdout,H1_max,10.17,0.07399999999999984,10.18,0.13513513513513253,33
may_failure,H1_roc_per_hour,0.0020011117287370875,1.2213072506818448,-0.08427087599931168,-0.07063905309649468,38
june_failure,H1_roc_per_hour,0.0020011117287370875,1.2213072506818448,0.006023143775413674,0.003293218839428917,48
july_holdout,H1_roc_per_hour,0.0020011117287370875,1.2213072506818448,-0.07826086956521669,-0.06571809120853433,33
may_failure,DV_pressure_mean,-0.018265560674002233,0.006004132231404965,-0.016267217630852877,0.3328279535045722,38
june_failure,DV_pressure_mean,-0.018265560674002233,0.006004132231404965,-0.018344352617079847,-0.013122952666746466,48
july_holdout,DV_pressure_mean,-0.018265560674002233,0.006004132231404965,-0.01701928374655662,0.20756986678722472,33
may_failure,DV_pressure_std,0.003462535797425001,0.06023365139833032,0.01379552405263714,0.17154842874922518,38
june_failure,DV_pressure_std,0.003462535797425001,0.06023365139833032,0.03290530198981909,0.48880925377886436,48
july_holdout,DV_pressure_std,0.003462535797425001,0.06023365139833032,0.00902621945900255,0.09236836108082556,33
may_failure,DV_pressure_min,-0.0219999999999984,0.0060000000000003,-0.0219999999999984,0.0,38
june_failure,DV_pressure_min,-0.0219999999999984,0.0060000000000003,-0.0240000000000009,-0.3333333333337333,48
july_holdout,DV_pressure_min,-0.0219999999999984,0.0060000000000003,-0.0199999999999995,0.3333333333331331,33
may_failure,DV_pressure_max,0.0359999999999995,0.9359999999999999,0.2460000000000004,0.22435897435897534,38
june_failure,DV_pressure_max,0.0359999999999995,0.9359999999999999,0.4540000000000006,0.4465811965811978,48
july_holdout,DV_pressure_max,0.0359999999999995,0.9359999999999999,0.152000000000001,0.12393162393162553,33
may_failure,DV_pressure_roc_per_hour,0.0,0.0020005557099182954,0.0,0.0,38
june_failure,DV_pressure_roc_per_hour,0.0,0.0020005557099182954,0.0,0.0,48
july_holdout,DV_pressure_roc_per_hour,0.0,0.0020005557099182954,0.002005571030639566,1.0025069637883142,33
may_failure,Reservoirs_mean,9.035063360881542,0.11244976076554991,8.984309422705206,-0.4513476758937299,38
june_failure,Reservoirs_mean,9.035063360881542,0.11244976076554991,9.022455665546575,-0.1121184718325333,48
july_holdout,Reservoirs_mean,9.035063360881542,0.11244976076554991,9.092686980609418,0.5124387934271998,33
may_failure,Reservoirs_std,0.5723810479157543,0.04468658862154984,0.5679470700903122,-0.09922390502871867,38
june_failure,Reservoirs_std,0.5723810479157543,0.04468658862154984,0.5792989325571898,0.15480896740682043,48
july_holdout,Reservoirs_std,0.5723810479157543,0.04468658862154984,0.6145025915538906,0.942599221320365,33
may_failure,Reservoirs_min,8.066,0.06799999999999962,7.946,-1.7647058823529658,38
june_failure,Reservoirs_min,8.066,0.06799999999999962,8.036,-0.4411764705882545,48
july_holdout,Reservoirs_min,8.066,0.06799999999999962,8.028,-0.5588235294117716,33
may_failure,Reservoirs_max,10.176,0.07199999999999918,10.148,-0.38888888888889983,38
june_failure,Reservoirs_max,10.176,0.07199999999999918,10.149000000000001,-0.37499999999999384,48
july_holdout,Reservoirs_max,10.176,0.07199999999999918,10.194,0.2500000000000123,33
may_failure,Reservoirs_roc_per_hour,0.0,0.9980558548668861,-0.20766351290779783,-0.20806802735052798,38
june_failure,Reservoirs_roc_per_hour,0.0,0.9980558548668861,0.006023143775413674,0.006034876451095014,48
july_holdout,Reservoirs_roc_per_hour,0.0,0.9980558548668861,-0.16049038729451115,-0.16080301168707264,33
may_failure,Oil_temperature_mean,63.45655183172762,7.789953274584107,66.82716904098749,0.4326877312932039,38
june_failure,Oil_temperature_mean,63.45655183172762,7.789953274584107,64.25641044561499,0.10267822998335883,48
july_holdout,Oil_temperature_mean,63.45655183172762,7.789953274584107,72.43763812154695,1.1529063106349398,33
may_failure,Oil_temperature_std,3.5422351569890873,1.2510577073614915,3.232818295611467,-0.24732421179050768,38
june_failure,Oil_temperature_std,3.5422351569890873,1.2510577073614915,3.929786903720019,0.30977927273098116,48
july_holdout,Oil_temperature_std,3.5422351569890873,1.2510577073614915,1.8573832315249976,-1.3467419732519612,33
may_failure,Oil_temperature_min,57.775000000000006,6.918750000000003,61.55,0.5456187895212271,38
june_failure,Oil_temperature_min,57.775000000000006,6.918750000000003,58.02499999999999,0.036133694670277966,48
july_holdout,Oil_temperature_min,57.775000000000006,6.918750000000003,69.15,1.644083107497741,33
may_failure,Oil_temperature_max,71.05,7.74375000000002,73.35000000000001,0.297013720742535,38
june_failure,Oil_temperature_max,71.05,7.74375000000002,72.85,0.23244552058111284,48
july_holdout,Oil_temperature_max,71.05,7.74375000000002,75.325,0.5520581113801446,33
may_failure,Oil_temperature_roc_per_hour,0.15050167224080838,5.418060200668909,-0.7272291109641393,-0.16200092850511033,38
june_failure,Oil_temperature_roc_per_hour,0.15050167224080838,5.418060200668909,0.17555733402476725,0.004624470909508449,48
july_holdout,Oil_temperature_roc_per_hour,0.15050167224080838,5.418060200668909,0.40011114198389014,0.046069895958753874,33
may_failure,Motor_current_mean,1.8760109587382314,0.8926494985008295,2.0660502754820937,0.2128935456335617,38
june_failure,Motor_current_mean,1.8760109587382314,0.8926494985008295,1.7434090909090907,-0.14854863868947496,48
july_holdout,Motor_current_mean,1.8760109587382314,0.8926494985008295,4.504613259668508,2.944719405931346,33
may_failure,Motor_current_std,2.15327939757219,0.2204596006081947,2.216969225637534,0.2888956883240266,38
june_failure,Motor_current_std,2.15327939757219,0.2204596006081947,2.202394399836728,0.22278459241077253,48
july_holdout,Motor_current_std,2.15327939757219,0.2204596006081947,1.0925671558244205,-4.811367882466995,33
may_failure,Motor_current_min,0.0375000000000005,0.005000000000000802,0.0349999999999992,-0.5000000000001797,38
june_failure,Motor_current_min,0.0375000000000005,0.005000000000000802,0.0375000000000005,0.0,48
july_holdout,Motor_current_min,0.0375000000000005,0.005000000000000802,3.5825,708.9999999998861,33
may_failure,Motor_current_max,6.267499999999998,0.06499999999999773,6.227499999999999,-0.6153846153846237,38
june_failure,Motor_current_max,6.267499999999998,0.06499999999999773,6.2425,-0.3846153846153762,48
july_holdout,Motor_current_max,6.267499999999998,0.06499999999999773,6.25,-0.2692307692307524,33
may_failure,Motor_current_roc_per_hour,0.0,2.026205895160733,-0.002501389660922237,-0.0012345189928113446,38
june_failure,Motor_current_roc_per_hour,0.0,2.026205895160733,0.0,0.0,48
july_holdout,Motor_current_roc_per_hour,0.0,2.026205895160733,-0.015041782729803803,-0.007423620060394001,33
may_failure,pressure_diff_mean,8.08228650137741,0.49489287606333043,7.832418430054792,-0.5048932474240003,38
june_failure,pressure_diff_mean,8.08228650137741,0.49489287606333043,8.020922865013775,-0.12399377588895226,48
july_holdout,pressure_diff_mean,8.08228650137741,0.49489287606333043,5.593928176795579,-5.028074649964049,33
may_failure,comp_duty_cycle,0.8898071625344353,0.06906077348066297,0.8760330578512396,-0.19944903581267262,38
june_failure,comp_duty_cycle,0.8898071625344353,0.06906077348066297,0.8842975206611571,-0.07977961432506808,48
july_holdout,comp_duty_cycle,0.8898071625344353,0.06906077348066297,0.6215469613259669,-3.884407713498623,33
may_failure,motor_current_volatility,0.11702910144260273,0.05163154174847395,0.12594267955801097,0.17263823262979935,38
june_failure,motor_current_volatility,0.11702910144260273,0.05163154174847395,0.1162948895027624,-0.01422022110858291,48
july_holdout,motor_current_volatility,0.11702910144260273,0.05163154174847395,0.15486187845303886,0.7327454445335121,33
