model,horizon_hours,seed,event,windows,positive_windows,prevalence,average_precision,ap_lift_over_prevalence,roc_auc,positive_score_median,negative_score_median,median_score_gap
attention_tcn,1,17,may_failure,244,2,0.00819672131147541,0.01772546795235394,2.1625070901871806,0.6590909090909092,3.809227146019567e-14,4.1507117133122057e-16,3.767720028886445e-14
attention_tcn,1,42,may_failure,244,2,0.00819672131147541,0.017591813849172973,2.1462012895991025,0.6570247933884297,5.046455385127047e-06,9.63570244039147e-07,4.0828851410879e-06
attention_tcn,1,89,may_failure,244,2,0.00819672131147541,0.018221032277257177,2.2229659378253754,0.6673553719008265,6.12660855381364e-08,1.1796343901693263e-08,4.946974163644313e-08
tcn,1,17,may_failure,244,2,0.00819672131147541,0.017518349259105385,2.137238609610857,0.6549586776859504,1.5903786534238185e-12,2.374590189193823e-13,1.3529196345044361e-12
tcn,1,42,may_failure,244,2,0.00819672131147541,0.3333333333333333,40.666666666666664,0.987603305785124,6.03573425905779e-07,1.2586328779207181e-07,4.777101381137072e-07
tcn,1,89,may_failure,244,2,0.00819672131147541,0.01772546795235394,2.1625070901871806,0.6590909090909092,2.567995607827278e-10,4.053963068018085e-11,2.1625993010254696e-10
xgboost,1,17,may_failure,244,2,0.00819672131147541,0.00819672131147541,1.0,0.48760330578512395,0.4750509858131408,0.4750509858131408,0.0
xgboost,1,42,may_failure,244,2,0.00819672131147541,0.00819672131147541,1.0,0.48760330578512395,0.4750511348247528,0.4750511348247528,0.0
xgboost,1,89,may_failure,244,2,0.00819672131147541,0.00819672131147541,1.0,0.5,0.4750511050224304,0.4750511050224304,0.0
attention_tcn,3,17,may_failure,244,6,0.02459016393442623,0.04009377317783777,1.6304801092320693,0.653361344537815,4.8404362740228635e-09,1.8836167348101895e-10,4.6520746005418445e-09
attention_tcn,3,42,may_failure,244,6,0.02459016393442623,0.03941769091308556,1.602986097132146,0.6491596638655462,3.636157634900883e-05,6.998654271228588e-06,2.936292207778024e-05
attention_tcn,3,89,may_failure,244,6,0.02459016393442623,0.0367641833882866,1.4950767911236553,0.6295518207282913,1.840100480876572e-06,2.234387821431483e-07,1.6166616987334237e-06
tcn,3,17,may_failure,244,6,0.02459016393442623,0.03564459817248955,1.4495469923479083,0.6183473389355743,1.4536052347696384e-13,2.9561774113975203e-16,1.450649057358241e-13
tcn,3,42,may_failure,244,6,0.02459016393442623,0.037185836962931616,1.5122240364925523,0.6330532212885154,1.0451265906547233e-32,0.0,1.0451265906547233e-32
tcn,3,89,may_failure,244,6,0.02459016393442623,0.03304756744859513,1.343934409576202,0.5910364145658263,9.184259967035323e-31,1.7304794820283734e-36,9.184242662240503e-31
xgboost,3,17,may_failure,244,6,0.02459016393442623,0.02459016393442623,1.0,0.48739495798319327,0.4750509858131408,0.4750509858131408,0.0
xgboost,3,42,may_failure,244,6,0.02459016393442623,0.02459016393442623,1.0,0.48739495798319327,0.4750511348247528,0.4750511348247528,0.0
xgboost,3,89,may_failure,244,6,0.02459016393442623,0.02459016393442623,1.0,0.5,0.4750511050224304,0.4750511050224304,0.0
attention_tcn,6,17,may_failure,244,12,0.04918032786885246,0.06511515000677129,1.324008050137683,0.6167385057471264,1.0601797217901774e-10,4.172475299296652e-12,1.0184549687972108e-10
attention_tcn,6,42,may_failure,244,12,0.04918032786885246,0.06606998763836813,1.343423081980152,0.6217672413793104,3.9670451812412466e-08,2.480757044232007e-09,3.718969476818046e-08
attention_tcn,6,89,may_failure,244,12,0.04918032786885246,0.058012659162908604,1.179590736312475,0.5642959770114941,0.0002703686477616,9.466410483582877e-05,0.00017570454292577123
tcn,6,17,may_failure,244,12,0.04918032786885246,0.06272224529069688,1.2753523209108366,0.6023706896551724,3.084335189324199e-13,2.430696673296894e-15,3.0600282225912303e-13
tcn,6,42,may_failure,244,12,0.04918032786885246,0.06469415177722321,1.3154477528035387,0.6124281609195402,4.300520256274478e-19,3.618189901203236e-23,4.300158437284358e-19
tcn,6,89,may_failure,244,12,0.04918032786885246,0.0588883472013162,1.1973963930934295,0.5801005747126436,2.2035010123642767e-31,2.601600882997521e-35,2.203240852275977e-31
xgboost,6,17,may_failure,244,12,0.04918032786885246,0.04918032786885246,1.0,0.4870689655172414,0.4750509858131408,0.4750509858131408,0.0
xgboost,6,42,may_failure,244,12,0.04918032786885246,0.04918032786885246,1.0,0.4870689655172414,0.4750511348247528,0.4750511348247528,0.0
xgboost,6,89,may_failure,244,12,0.04918032786885246,0.04918032786885246,1.0,0.5,0.4750511050224304,0.4750511050224304,0.0
attention_tcn,12,17,may_failure,244,24,0.09836065573770492,0.09263797741030372,0.9418194370047545,0.484469696969697,8.614628483424919e-17,3.616696681516629e-17,4.99793180190829e-17
attention_tcn,12,42,may_failure,244,24,0.09836065573770492,0.0958736643567607,0.9747155876270671,0.5053030303030304,1.2764683600619218e-14,5.244725730170247e-15,7.519957870448971e-15
attention_tcn,12,89,may_failure,244,24,0.09836065573770492,0.09836065573770492,1.0,0.3113636363636364,0.0,0.0,0.0
tcn,12,17,may_failure,244,24,0.09836065573770492,0.0928575876346308,0.9440521409520798,0.48352272727272727,1.1410175246906361e-30,3.6662731345402367e-32,1.1043547933452337e-30
tcn,12,42,may_failure,244,24,0.09836065573770492,0.09836065573770492,1.0,0.3159090909090909,0.0,0.0,0.0
tcn,12,89,may_failure,244,24,0.09836065573770492,0.08883369410107403,0.9031425566942527,0.45880681818181823,3.3249080469187883e-31,6.27689591831322e-33,3.262139087735656e-31
xgboost,12,17,may_failure,244,24,0.09836065573770492,0.09836065573770492,1.0,0.4863636363636364,0.4750509858131408,0.4750509858131408,0.0
xgboost,12,42,may_failure,244,24,0.09836065573770492,0.09836065573770492,1.0,0.4863636363636364,0.4750511348247528,0.4750511348247528,0.0
xgboost,12,89,may_failure,244,24,0.09836065573770492,0.09836065573770492,1.0,0.5,0.4750511050224304,0.4750511050224304,0.0
attention_tcn,1,17,june_failure,247,2,0.008097165991902834,0.10595238095238096,13.085119047619049,0.653061224489796,0.03125138676841735,0.0011264155618846,0.03012497120653275
attention_tcn,1,42,june_failure,247,2,0.008097165991902834,0.1721915285451197,21.265653775322285,0.6306122448979592,0.0432276645005913,0.0014036013744771,0.0418240631261142
attention_tcn,1,89,june_failure,247,2,0.008097165991902834,0.05216595485051861,6.4424954240390475,0.6795918367346938,0.0141280099051073,0.0016247612657025,0.0125032486394048
tcn,1,17,june_failure,247,2,0.008097165991902834,0.021227364185110665,2.621579476861167,0.7183673469387755,0.0004343078762758,5.745586349803489e-06,0.0004285622899259965
tcn,1,42,june_failure,247,2,0.008097165991902834,0.016620689655172414,2.052655172413793,0.6326530612244898,6.233648491611279e-05,1.3135135304764844e-05,4.920134961134795e-05
tcn,1,89,june_failure,247,2,0.008097165991902834,0.02452153110047847,3.028409090909091,0.7612244897959184,1.0789024185164922e-07,1.166957589587847e-11,1.0787857227575334e-07
xgboost,1,17,june_failure,247,2,0.008097165991902834,0.015847665847665848,1.9571867321867322,0.6755102040816325,0.18078374117612833,0.18073371052742,5.0030648708343506e-05
xgboost,1,42,june_failure,247,2,0.008097165991902834,0.012020586576424139,1.4845424421883813,0.5153061224489796,0.05102112144231795,0.0484572574496269,0.002563863992691047
xgboost,1,89,june_failure,247,2,0.008097165991902834,0.012048192771084338,1.4879518072289157,0.5836734693877551,0.3004402220249176,0.3004402220249176,0.0
attention_tcn,3,17,june_failure,247,6,0.024291497975708502,0.08659657997772302,3.5648925424162643,0.7814661134163209,0.0005012367473682,3.84047507395735e-06,0.0004973962722942427
attention_tcn,3,42,june_failure,247,6,0.024291497975708502,0.22526052659723472,9.273225011586163,0.8229598893499309,0.0134337535127997,0.0004644412256311,0.0129693122871686
attention_tcn,3,89,june_failure,247,6,0.024291497975708502,0.04837792708228101,1.9915579982205682,0.7330567081604427,0.0347420237958431,0.0021907747723162,0.03255124902352689
tcn,3,17,june_failure,247,6,0.024291497975708502,0.04201996619044674,1.7298219415067242,0.6894882434301521,0.0011872320319525,1.3009470194447204e-06,0.0011859310849330553
tcn,3,42,june_failure,247,6,0.024291497975708502,0.03995826459414948,1.6449485591258202,0.5601659751037344,0.0251636528410017,0.0196816064417362,0.0054820463992655
tcn,3,89,june_failure,247,6,0.024291497975708502,0.04938608833894089,2.0330606366197332,0.7344398340248962,6.214402152593388e-10,7.921397197929542e-17,6.214401360453668e-10
xgboost,3,17,june_failure,247,6,0.024291497975708502,0.022658373916955153,0.9327697262479872,0.4336099585062241,0.4750590622425079,0.4750590622425079,0.0
xgboost,3,42,june_failure,247,6,0.024291497975708502,0.026185143710339677,1.0779550827423168,0.4491701244813278,0.3872831761837005,0.3872831761837005,0.0
xgboost,3,89,june_failure,247,6,0.024291497975708502,0.026334776334776332,1.084114959114959,0.4968879668049792,0.4288663566112518,0.4288663566112518,0.0
attention_tcn,6,17,june_failure,247,12,0.048582995951417005,0.15180354282607117,3.124622923169965,0.4730496453900709,0.036571918055415154,0.0398698225617408,-0.0032979045063256454
attention_tcn,6,42,june_failure,247,12,0.048582995951417005,0.1368464924755414,2.8167569701215602,0.5514184397163121,0.0494722500443458,0.0481754578649997,0.0012967921793460985
attention_tcn,6,89,june_failure,247,12,0.048582995951417005,0.046311751913110655,0.9532502268781943,0.3907801418439716,0.06630091369152065,0.0877841934561729,-0.021483279764652252
tcn,6,17,june_failure,247,12,0.048582995951417005,0.06108629031091759,1.257359475566387,0.3953900709219858,0.00948322983458635,0.0136666800826787,-0.004183450248092349
tcn,6,42,june_failure,247,12,0.048582995951417005,0.06611974657564537,1.360964783682034,0.42659574468085104,0.0048723159125074,0.0071670114994049,-0.0022946955868975005
tcn,6,89,june_failure,247,12,0.048582995951417005,0.062301145338460984,1.2823652415499887,0.4546099290780142,0.00017606520123080002,0.0010038740001618,-0.0008278087989309999
xgboost,6,17,june_failure,247,12,0.048582995951417005,0.048351842702769626,0.9952420956320082,0.4695035460992908,0.4423709362745285,0.444387286901474,-0.0020163506269454956
xgboost,6,42,june_failure,247,12,0.048582995951417005,0.05641211697229499,1.1611494076797386,0.4994680851063831,0.4753425717353821,0.4751414060592651,0.00020116567611699887
xgboost,6,89,june_failure,247,12,0.048582995951417005,0.048130459728316644,0.9906852960745176,0.48085106382978726,0.5191953778266907,0.5191953778266907,0.0
attention_tcn,12,17,june_failure,247,24,0.09716599190283401,0.06728255934094916,0.6924496732172685,0.2834454409566517,0.0258728126063942,0.0315434522926807,-0.005670639686286498
attention_tcn,12,42,june_failure,247,24,0.09716599190283401,0.07075171896705601,0.7281531077026181,0.33090433482810166,0.10530259832739824,0.1157551705837249,-0.010452572256326662
attention_tcn,12,89,june_failure,247,24,0.09716599190283401,0.07460698059547921,0.7678301752951402,0.2556053811659193,0.0010514724417589,0.0094251176342368,-0.0083736451924779
tcn,12,17,june_failure,247,24,0.09716599190283401,0.12102200134251664,1.245518097150067,0.4934603886397608,0.01159519003704185,0.01393598690629,-0.00234079686924815
tcn,12,42,june_failure,247,24,0.09716599190283401,0.139408716238899,1.4347480379586688,0.5035500747384155,0.065321110188961,0.0697239860892295,-0.004402875900268499
tcn,12,89,june_failure,247,24,0.09716599190283401,0.08351659717816476,0.8595249792919456,0.41106128550074733,0.0057824819814413005,0.0101605653762817,-0.0043780833948404
xgboost,12,17,june_failure,247,24,0.09716599190283401,0.08608583876944023,0.885966757335489,0.33753736920777283,0.475064218044281,0.5179101824760437,-0.042845964431762695
xgboost,12,42,june_failure,247,24,0.09716599190283401,0.09166487265266471,0.9433843143836743,0.31371449925261585,0.3656066805124283,0.55415940284729,-0.18855272233486176
xgboost,12,89,june_failure,247,24,0.09716599190283401,0.07478489671985622,0.7696612287418536,0.297085201793722,0.49220485985279083,0.4922491014003753,-4.424154758447818e-05
